#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2026-02-25-12-18-48
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer	source
#types	time	string	addr	port	addr	port	string	string	bool	string	string
1772022488.958438	CRcQJC4aRyJdbcmKFh	192.168.159.130	52230	192.178.211.156	443	active_connection_reuse	-	F	zeek	TCP
1772022488.970596	Ch4cDJ3FrZeM5tu8j3	192.168.159.130	37210	16.15.207.143	443	active_connection_reuse	-	F	zeek	TCP
1772022488.987706	CaEocB2RR7GFoASzq3	192.168.159.130	58342	216.239.34.181	443	active_connection_reuse	-	F	zeek	TCP
1772022489.291990	Cv60dh3Uc9mNZa7wY2	192.168.159.130	58346	216.239.34.181	443	active_connection_reuse	-	F	zeek	TCP
1772022491.066259	CGmO7v2Di9UOzNfrM	192.168.159.130	38864	142.250.77.131	80	active_connection_reuse	-	F	zeek	TCP
1772022491.502648	C25EWy3ax6T4VIKYtd	192.168.159.130	46452	34.95.113.255	443	active_connection_reuse	-	F	zeek	TCP
1772022492.438195	CrgvKI27JLWBqAkK6e	192.168.159.130	34188	104.18.29.104	443	active_connection_reuse	-	F	zeek	TCP
1772022492.442610	CaXAcF12BiQTBSfkx2	192.168.159.130	55608	54.230.46.194	80	active_connection_reuse	-	F	zeek	TCP
1772022493.012663	CzoSNc3dfjgzDmShi4	192.168.159.130	55622	54.230.46.194	80	active_connection_reuse	-	F	zeek	TCP
1772022493.270389	CA3w0i48ZsLUUoXV47	192.168.159.130	36660	54.187.119.242	443	active_connection_reuse	-	F	zeek	TCP
1772022493.283193	Cv41dXLVBLvyEpxBd	192.168.159.130	36636	54.187.119.242	443	active_connection_reuse	-	F	zeek	TCP
1772022493.286383	Cirpl4DpYHXLVsfW	192.168.159.130	36650	54.187.119.242	443	active_connection_reuse	-	F	zeek	TCP
1772022493.291573	ClrZ8r223e3PrUYP5j	192.168.159.130	36662	54.187.119.242	443	active_connection_reuse	-	F	zeek	TCP
1772022493.618415	CXqUGBiZRqXwy4Nvj	192.168.159.130	36670	54.187.119.242	443	active_connection_reuse	-	F	zeek	TCP
1772022493.618421	CtpQ0g30rceJ7oIsNf	192.168.159.130	36686	54.187.119.242	443	active_connection_reuse	-	F	zeek	TCP
1772022496.171959	CYAkDEj2x35E07WM7	192.168.159.130	58018	23.53.128.229	80	active_connection_reuse	-	F	zeek	TCP
1772022496.171965	CIwfYn2Xa6rZXDymCc	192.168.159.130	58002	23.53.128.229	80	active_connection_reuse	-	F	zeek	TCP
1772022496.174328	CSDRTs3SUZFwo7Jux2	192.168.159.130	58022	23.53.128.229	80	active_connection_reuse	-	F	zeek	TCP
1772022496.174332	CEYRAh453jqHQtsoTi	192.168.159.130	58014	23.53.128.229	80	active_connection_reuse	-	F	zeek	TCP
1772022496.376971	CPu4641BqRpV7oqn9a	192.168.159.130	36118	18.155.33.94	443	active_connection_reuse	-	F	zeek	TCP
1772022497.603564	CarbSC2pNasUbLiYGf	192.168.159.130	36122	18.155.33.94	443	active_connection_reuse	-	F	zeek	TCP
1772022498.878015	Cf2a6d3IbaGt2OvgJ9	192.168.159.130	45280	44.228.87.150	443	active_connection_reuse	-	F	zeek	TCP
1772022498.878021	CpiUz513PluAhHAS6f	192.168.159.130	45296	44.228.87.150	443	active_connection_reuse	-	F	zeek	TCP
1772022499.135782	CzsegW1Wv5NRok1knd	192.168.159.130	45312	44.228.87.150	443	active_connection_reuse	-	F	zeek	TCP
1772022501.554744	CAgaW62tDtVTCR0fY8	192.168.159.130	53722	34.95.113.255	443	active_connection_reuse	-	F	zeek	TCP
