#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2026-03-09-11-08-43
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer	source
#types	time	string	addr	port	addr	port	string	string	bool	string	string
1773056031.894198	CNAOBi3d9WDdgKtxp1	172.19.0.5	37748	151.101.192.223	443	bad_TCP_checksum	-	F	zeek	TCP
1773056166.105919	CPJEcdCSzBRWQrT2l	192.168.159.130	44122	151.101.209.91	443	active_connection_reuse	-	F	zeek	TCP
1773056309.002294	CehlVt3e15K3Ov6Rxb	192.168.159.130	41586	34.95.113.255	443	active_connection_reuse	-	F	zeek	TCP
1773056341.806994	CxRFu93JZvZVa6rc5	192.168.159.130	46890	172.217.174.234	443	active_connection_reuse	-	F	zeek	TCP
1773056341.807003	C2uwSs2cWoaQB6B4Uh	192.168.159.130	46896	172.217.174.234	443	active_connection_reuse	-	F	zeek	TCP
1773056609.085965	ClMn1a3yL5JS11e3tj	192.168.159.130	37652	34.95.113.255	443	active_connection_reuse	-	F	zeek	TCP
1773056909.082349	ColzYF16eBOP6VkHuc	192.168.159.130	58758	34.95.113.255	443	active_connection_reuse	-	F	zeek	TCP
1773056962.470202	Cme7E92UMjE6720mCl	192.168.159.130	35250	34.107.243.93	443	active_connection_reuse	-	F	zeek	TCP
1773056962.982726	CXA52jjSUJt3l7aY2	192.168.159.130	35264	34.107.243.93	443	active_connection_reuse	-	F	zeek	TCP
1773056964.312175	Cshbc2lsS1Ef5Xnki	192.168.159.130	47076	151.101.209.91	443	active_connection_reuse	-	F	zeek	TCP
1773057209.072107	C3ucPd3590i1RpNy03	192.168.159.130	55622	34.95.113.255	443	active_connection_reuse	-	F	zeek	TCP
#close	2026-03-09-12-10-39
