#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	ntp
#open	2026-03-09-11-08-43
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	version	mode	stratum	poll	precision	root_delay	root_disp	ref_id	ref_time	org_time	rec_time	xmt_time	num_exts
#types	time	string	addr	port	addr	port	count	count	count	interval	interval	interval	interval	string	time	time	time	time	count
1773056488.554881	CMNi4O1B8cF5YFVY76	192.168.159.130	35634	172.236.180.15	123	4	4	4	1.000000	0.000000	0.056366	0.012451	40.81.94.65	1773056346.957159	1446026020.373125	1773056488.485668	1773056488.485721	0
1773056552.680314	Csz40V3vwavH7amVKa	192.168.159.130	41118	172.236.180.15	123	4	4	4	1.000000	0.000000	0.056366	0.012512	40.81.94.65	1773056346.957159	1500231296.396029	1773056552.891083	1773056552.891272	0
1773056584.997039	C4HdmTAYCrfHSf8Ah	192.168.159.130	46486	172.236.180.15	123	4	4	4	1.000000	0.000000	0.056366	0.012558	40.81.94.65	1773056346.957159	-386200096.992655	1773056584.946104	1773056584.946126	0
1773056649.164574	CGSzdf1UTBHPvlTYOk	192.168.159.130	52164	172.236.180.15	123	4	4	4	1.000000	0.000000	0.056366	0.012619	40.81.94.65	1773056346.957159	-2072216555.687809	1773056649.361355	1773056649.361699	0
1773056681.379769	CIFkdJ3ZiQdK3Y7xO7	192.168.159.130	32894	172.236.180.15	123	4	4	4	1.000000	0.000000	0.056366	0.012650	40.81.94.65	1773056346.957159	-721720968.480148	1773056681.426087	1773056681.426184	0
1773056713.797763	CMNJtl47kIcKvnzR6c	192.168.159.130	42873	172.236.180.15	123	4	4	4	1.000000	0.000000	0.056366	0.012680	40.81.94.65	1773056346.957159	-1134538051.224624	1773056713.770819	1773056713.771042	0
1773056745.962690	CiUYOk2ynUGbcn5tsd	192.168.159.130	52133	172.236.180.15	123	4	4	4	1.000000	0.000000	0.056366	0.012711	40.81.94.65	1773056346.957159	-608210181.016301	1773056746.046125	1773056746.046157	0
1773056778.189742	CxEtdW11euIlWKxzAb	192.168.159.130	41426	172.236.180.15	123	4	4	4	1.000000	0.000000	0.056366	0.012756	40.81.94.65	1773056346.957159	-341617506.015561	1773056778.251234	1773056778.251275	0
1773056810.580919	C2u5aD2qYlhROixkt1	192.168.159.130	36193	172.236.180.15	123	4	4	4	1.000000	0.000000	0.056366	0.012787	40.81.94.65	1773056346.957159	1579740372.503549	1773056810.565464	1773056810.565489	0
1773056842.639519	C2cFai3WNA7W2I1eu8	192.168.159.130	35889	172.236.180.15	123	4	4	4	1.000000	0.000000	0.056366	0.012817	40.81.94.65	1773056346.957159	-1019613579.212992	1773056842.806308	1773056842.806406	0
1773056874.982091	CoC8omwKjLwxRvPi2	192.168.159.130	43745	172.236.180.15	123	4	4	4	1.000000	0.000000	0.056366	0.012848	40.81.94.65	1773056346.957159	-53088317.848963	1773056874.970729	1773056874.970849	0
1773056907.346195	CkqjAk24BPpEbtCHVc	192.168.159.130	52019	172.236.180.15	123	4	4	4	1.000000	0.000000	0.056366	0.012878	40.81.94.65	1773056346.957159	681341959.109851	1773056907.446579	1773056907.446618	0
